family,variant,dtype,m,n,k,median_ms,iqr_ms,gflops,baseline_gflops,pct_baseline,throttled,median_sm_clock_mhz,max_temp_c,max_power_w,cuda_runtime,cuda_driver,commit
gemm,mma_ptx,fp16,4096,4096,4096,3.781728,0.017336,36342.897,61036.235,59.54,False,2865,46,59.2,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ptx,fp16,8192,8192,8192,32.237585,0.416943,34106.513,65388.895,52.16,False,2865,59,213.9,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ldm,fp16,1024,1024,1024,0.076608,0.001048,28032.106,51741.608,54.18,False,2835,51,181.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ldm,fp16,2048,2048,2048,0.478768,0.001608,35883.496,63955.077,56.11,False,2865,51,111.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ldm,fp16,4096,4096,4096,3.760336,0.018696,36549.647,61109.615,59.81,False,2865,45,67.3,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_ldm,fp16,8192,8192,8192,31.244608,0.442073,35190.444,65365.754,53.84,False,2865,58,204.3,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_opt,fp16,1024,1024,1024,0.06648,0.002856,32302.702,50897.886,63.47,False,2827,57,174.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,mma_opt,fp16,8192,8192,8192,18.937344,0.159576,58060.499,65303.949,88.91,False,2865,52,164.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,bf16,1024,1024,1024,0.084768,0.00288,25333.66,51169.55,49.51,False,2820,50,169.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,bf16,4096,4096,4096,4.094912,0.02448,33563.347,62819.469,53.43,False,2865,44,104.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemm,wmma,bf16,8192,8192,8192,34.066225,0.249607,32275.711,65954.846,48.94,False,2865,57,201.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,naive,fp32,1024,1024,0,0.055376,0.002376,37.871,239.182,15.83,False,2850,50,178.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,naive,fp32,8192,8192,0,0.841568,0.016,159.485,305.262,52.25,False,2865,49,118.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,warp,fp32,1024,1024,0,0.009296,0.001544,225.597,240.499,93.8,False,2865,44,45.0,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,warp,fp32,8192,8192,0,0.441568,0.01544,303.957,304.321,99.88,False,2865,44,45.1,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,vectorized,fp32,1024,1024,0,0.009232,0.002392,227.161,168.69,134.66,False,2820,43,41.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
gemv,vectorized,fp32,8192,8192,0,0.435696,0.017352,308.054,303.155,101.62,False,2722,43,40.4,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,naive,fp32,16384,16384,0,0.037328,0.001456,24.742,23.257,106.39,False,2722,42,39.6,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,naive,fp32,131072,131072,0,0.135328,0.014208,57.514,66.812,86.08,False,2722,43,39.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,warp,fp32,16384,16384,0,0.014976,0.001432,61.67,21.758,283.44,False,2715,42,40.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
spmv,warp,fp32,131072,131072,0,0.083184,0.002672,93.567,73.405,127.47,False,2715,42,38.0,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,naive,fp32,512,256,0,7.945664,0.039208,8.446,261.866,3.23,False,2692,42,39.9,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,naive,fp32,2048,256,0,137.074493,0.450134,7.833,1169.124,0.67,False,2880,43,48.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,blocked,fp32,512,256,0,0.610832,0.0148,109.865,231.666,47.42,False,2880,43,47.5,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
trsm,blocked,fp32,2048,256,0,2.815936,0.13148,381.309,1199.765,31.78,False,2880,42,45.7,13030,13030,42d47e0d90068bd48e3a4d17895beec6287579a6
